Date,Usage (minutes)
2024-09-01,11
2024-09-03,104
2024-09-04,3
2024-09-05,87
2024-09-06,0
2024-09-07,35
2024-09-08,60
2024-09-09,54
2024-09-10,1
2024-09-11,0
2024-09-12,6
2024-09-13,37
2024-09-14,12
2024-09-15,1
2024-09-16,35
2024-09-17,1
2024-09-20,19
2024-09-22,0
2024-09-25,0
2024-09-26,0
2024-09-27,15
2024-09-28,18
2024-09-29,1
2024-10-01,5
2024-10-02,17
2024-10-03,60
2024-10-04,2
2024-10-06,9
2024-10-07,9
2024-10-08,32
2024-10-09,48
2024-10-10,1
2024-10-11,37
2024-10-12,7
2024-10-13,34
2024-10-14,0
2024-10-15,10
2024-10-16,16
2024-10-17,2
2024-10-18,36
2024-10-19,13
2024-10-20,67
2024-10-21,18
2024-10-22,23
2024-10-23,2
2024-10-24,15
2024-10-25,15
2024-10-26,0
2024-10-27,12
2024-10-28,124
2024-10-29,0
2024-10-30,23
2024-11-01,0
2024-11-02,0
2024-11-03,3
2024-11-04,1
2024-11-07,0
2024-11-08,0
2024-11-09,4
2024-11-10,0
2024-11-11,0
2024-11-12,5
2024-11-13,78
2024-11-14,11
2024-11-15,10
2024-11-16,62
2024-11-17,24
2024-11-18,0
2024-11-19,2
2024-11-21,0
2024-12-06,0
2024-12-13,0
2024-12-16,3
2024-12-18,0
2024-12-21,32
2024-12-22,0
2024-12-23,13
2024-12-24,5
2024-12-25,0
2024-12-26,37
2024-12-27,30
2024-12-28,25
2024-12-29,41
2024-12-30,33
2024-12-31,0
2025-01-01,4
2025-01-02,1
2025-01-03,19
2025-01-04,0
2025-01-05,65
2025-01-06,48
2025-01-07,0
